,0,reporting_year,reporting_number
DURG_1,8809.578125,2017,1
DURG_2,113.65142059326172,2017,1
DURG_3,838.294921875,2017,1
DURG_4,83.5419921875,2017,1
DURG_5,494.05224609375,2017,1
DURG_6,1382.265625,2017,1
DURG_7,1897.396484375,2017,1
DURG_8,104.981201171875,2017,1
DURG_9,2466.1220703125,2017,1
DURG_10,631.864501953125,2017,1
DURG_1,11546.703125,2017,1
DURG_2,0.001966176088899374,2017,1
DURG_3,763.1083984375,2017,1
DURG_4,255.5322265625,2017,1
DURG_5,8590.5107421875,2017,1
DURG_6,13063.134765625,2017,1
DURG_7,475.1015625,2017,1
DURG_8,0.046460047364234924,2017,1
DURG_9,110.25927734375,2017,1
DURG_10,235.111083984375,2017,1
DURG_1,4241.55859375,2017,1
DURG_2,0.00025818709400482476,2017,1
DURG_3,493.2861328125,2017,1
DURG_4,73.60791015625,2017,1
DURG_5,4568.9970703125,2017,1
DURG_6,5680.62890625,2017,1
DURG_7,4715.25,2017,1
DURG_8,106.4828109741211,2017,1
DURG_9,2340.26806640625,2017,1
DURG_10,414.9796142578125,2017,1
DURG_1,74271.9609375,2017,1
DURG_2,0.03565017133951187,2017,1
DURG_3,25864.701171875,2017,1
DURG_4,20959.2421875,2017,1
DURG_5,12754.23046875,2017,1
DURG_6,41383.71875,2017,1
DURG_7,27715.375,2017,1
DURG_8,0.14485138654708862,2017,1
DURG_9,3528.3251953125,2017,1
DURG_10,5246.8095703125,2017,1
DURG_1,44722.71484375,2017,2
DURG_2,162.4323272705078,2017,2
DURG_3,471.564453125,2017,2
DURG_4,1180.296875,2017,2
DURG_5,205.8857421875,2017,2
DURG_6,4301.015625,2017,2
DURG_7,2064.4765625,2017,2
DURG_8,252.15643310546875,2017,2
DURG_9,139.603515625,2017,2
DURG_10,359.492919921875,2017,2
DURG_1,10191.26953125,2017,2
DURG_2,0.007611037231981754,2017,2
DURG_3,1841.5693359375,2017,2
DURG_4,302.50244140625,2017,2
DURG_5,8710.2783203125,2017,2
DURG_6,12632.435546875,2017,2
DURG_7,3295.734375,2017,2
DURG_8,0.053359173238277435,2017,2
DURG_9,51.27685546875,2017,2
DURG_10,139.16748046875,2017,2
DURG_1,1938.26953125,2017,2
DURG_2,0.01715863309800625,2017,2
DURG_3,8711.60546875,2017,2
DURG_4,302.668212890625,2017,2
DURG_5,3031.2255859375,2017,2
DURG_6,1786.33984375,2017,2
DURG_7,4667.474609375,2017,2
DURG_8,106.73921203613281,2017,2
DURG_9,1712.16259765625,2017,2
DURG_10,335.8822021484375,2017,2
DURG_1,73747.4296875,2017,2
DURG_2,0.009679678827524185,2017,2
DURG_3,25998.970703125,2017,2
DURG_4,20948.490234375,2017,2
DURG_5,12890.5341796875,2017,2
DURG_6,40515.40234375,2017,2
DURG_7,27742.810546875,2017,2
DURG_8,0.15360194444656372,2017,2
DURG_9,3473.3955078125,2017,2
DURG_10,5211.7890625,2017,2
DURG_1,8255.60546875,2017,3
DURG_2,91.21063995361328,2017,3
DURG_3,1343.90234375,2017,3
DURG_4,827.994140625,2017,3
DURG_5,408.8740234375,2017,3
DURG_6,386.12890625,2017,3
DURG_7,1075.875,2017,3
DURG_8,133.02450561523438,2017,3
DURG_9,636.63525390625,2017,3
DURG_10,298.34912109375,2017,3
DURG_1,10569.640625,2017,3
DURG_2,0.48147591948509216,2017,3
DURG_3,412.0546875,2017,3
DURG_4,124.44384765625,2017,3
DURG_5,4762.74853515625,2017,3
DURG_6,11251.5546875,2017,3
DURG_7,2488.873046875,2017,3
DURG_8,0.03322654217481613,2017,3
DURG_9,754.93408203125,2017,3
DURG_10,714.840576171875,2017,3
DURG_1,1274.6171875,2017,3
DURG_2,0.052017081528902054,2017,3
DURG_3,3004.5,2017,3
DURG_4,521.235595703125,2017,3
DURG_5,3006.13623046875,2017,3
DURG_6,294.12890625,2017,3
DURG_7,3631.080078125,2017,3
DURG_8,106.43983459472656,2017,3
DURG_9,3709.45947265625,2017,3
DURG_10,472.9598388671875,2017,3
DURG_1,74408.9140625,2017,3
DURG_2,0.02529763989150524,2017,3
DURG_3,26108.869140625,2017,3
DURG_4,20946.701171875,2017,3
DURG_5,12915.6240234375,2017,3
DURG_6,41522.6796875,2017,3
DURG_7,27762.595703125,2017,3
DURG_8,0.08077376335859299,2017,3
DURG_9,3519.467041015625,2017,3
DURG_10,5247.23974609375,2017,3
DURG_1,357.02734375,2017,4
DURG_2,15.435136795043945,2017,4
DURG_3,610.0703125,2017,4
DURG_4,184.0283203125,2017,4
DURG_5,307.7138671875,2017,4
DURG_6,2790.72265625,2017,4
DURG_7,6.84375,2017,4
DURG_8,87.36065673828125,2017,4
DURG_9,89.87158203125,2017,4
DURG_10,3340.216552734375,2017,4
DURG_1,12343.234375,2017,4
DURG_2,0.12590573728084564,2017,4
DURG_3,35.1923828125,2017,4
DURG_4,163.304931640625,2017,4
DURG_5,3387.0439453125,2017,4
DURG_6,9724.11328125,2017,4
DURG_7,1061.736328125,2017,4
DURG_8,0.1548164039850235,2017,4
DURG_9,1113.220458984375,2017,4
DURG_10,406.73779296875,2017,4
DURG_1,6398.32421875,2017,4
DURG_2,0.01669037528336048,2017,4
DURG_3,1332.099609375,2017,4
DURG_4,157.623291015625,2017,4
DURG_5,3251.5009765625,2017,4
DURG_6,3956.84375,2017,4
DURG_7,4211.345703125,2017,4
DURG_8,20.724319458007812,2017,4
DURG_9,2416.30126953125,2017,4
DURG_10,81.6314697265625,2017,4
DURG_1,74527.1171875,2017,4
DURG_2,0.0294511578977108,2017,4
DURG_3,26121.39453125,2017,4
DURG_4,20960.701171875,2017,4
DURG_5,12895.43359375,2017,4
DURG_6,41497.31640625,2017,4
DURG_7,27750.6953125,2017,4
DURG_8,0.12926419079303741,2017,4
DURG_9,3566.639892578125,2017,4
DURG_10,5248.4013671875,2017,4
